,microsecs,n_reprocessing
39920,204,0
39926,203,0
45737,367,0
73300,209,0
143688,272,0
143706,219,0
254263,166,0
254273,237,0
254276,283,0
455573,178,0
455588,180,0
477965,298,0
479572,169,0
479675,420,0
479695,5245,2
479703,2205,2
479717,327,0
479724,274,0
479763,217,0
479771,298,0
479807,352,0
479811,330,0
479832,222,0
479877,1239,2
479918,206,0
479926,9,0
479954,364,0
479960,737,0
483846,41,0
483864,297,0
508994,253,0
518661,379,0
518693,182,0
535875,284,0
587737,23,0
615667,218,0
615676,266,0
709936,300,0
709958,119,0
717649,156,0
717650,263,0
739186,88,0
739201,103,0
763626,31,0
915181,72,0
915196,96,0
1022698,163,0
1022733,229,0
1059840,264,0
1059850,209,0
1118327,277,0
1170296,229,0
1215503,63,0
1215543,249,0
1273977,137,0
1304639,259,0
1304648,350,0
1304673,1355,0
1419468,120,0
1419483,87,0
1428077,208,0
1428097,570,0
1500884,248,0
1500889,250,0
1627897,40,0
1627917,179,0
1664946,740,0
1816101,395,0
1816105,220,0
1840665,259,0
1904967,35,0
1904971,197,0
1962014,58,0
1962021,184,0
1962032,68,0
1962046,49,0
1962053,41,0
1962057,640,0
1962059,159,0
1962066,164,0
1962080,1559,0
1962087,14,0
1962100,246,0
2172654,254,0
2186856,204,0
2186875,42,0
2203485,434,0
2203488,248,0
2239166,82,0
2317481,233,0
2317483,271,0
2330575,283,0
2362401,82,0
2362404,249,0
2368726,231,0
2497067,203,0
2497077,136,0
2557622,55,0
2557644,120,0
2597295,75,0
2597304,37,0
2597322,64,0
2789456,86,0
2789486,283,0
2832495,298,0
2842959,261,0
3040792,88,0
3040800,231,0
3086404,533,0
3087569,204,0
3087577,240,0
3087590,53,0
3087610,38,0
3087629,51,0
3087652,67,0
3087667,39,0
3092195,38,0
3127482,54,0
3127495,332,0
3131583,11,0
3141786,209,0
3141848,378,0
3156387,42,0
3156390,237,0
3156393,205,0
3176902,272,0
3243791,225,0
3260945,71,0
3288434,292,0
3326116,56,0
3326136,318,0
3326145,195,0
3398006,552,0
3398021,402,0
3531337,379,0
3531339,262,0
3554293,37,0
3554301,35,0
3573831,70,0
3579967,281,0
3579982,301,0
3630191,291,0
3669738,67,0
3669754,25,0
3883790,212,0
3883807,146,0
3883813,291,0
3892666,74,0
3936214,54,0
3936225,118,0
3936229,499,0
3967120,255,0
3996158,194,0
4034360,196,0
4054908,364,0
4054914,218,0
4054928,40,0
4054936,207,0
4054938,321,0
4171115,173,0
4200052,369,0
4200055,1064,0
4203462,57,0
4229133,304,0
4229145,325,0
4229150,301,0
4276375,267,0
4291802,38,0
4331819,72,0
4336082,56,0
4336147,3457,2
4336172,54,0
4336187,240,0
4336207,382,0
4336257,639,0
4336267,222,0
4336270,292,0
4341734,220,0
4525504,229,0
